№,Страна,Население,Дата,% отнаселенияЗемли,Источник
1,Индия,1432714000.0,2024-10-11T03:14:41+00:0011 октября 2024,17.53%,Счётчик[2]
2,Китай,1409670000.0,2023-01-2131 декабря 2023,17.31%,Оценка[1]
3,США[Комм. 1],335893238.0,2023-01-011 января 2024,4.1%,Оценка[3]
4,Индонезия,281603800.0,2022-12-11 июля 2024,3.52%,Оценка[4]
5,Пакистан,241499431.0,2021-03-011 марта 2023,2.96%,Перепись[6]
6,Нигерия,223800000.0,2024-10-11T03:14:41+00:0011 октября 2024,2.8%,Счётчик[7]
7,Бразилия,220548840.0,2024-10-11T03:14:41+00:0011 октября 2024,2.52%,Счётчик[5]
8,Бангладеш,169828911.0,2022-06-1514 июня 2022,2.08%,Перепись[8]
9,Россия[9],146150789.0,2023-01-011 января 2024,1.8%,Оценка[10]
10,Мексика,129940228.0,2021-01-0130 июня 2024,1.63%,Перепись[11]
11,Япония,123780000.0,2024-06-011 сентября 2024,1.52%,Оценка[12]
12,Филиппины,115110242.0,2024-10-11T03:14:41+00:0011 октября 2024,1.41%,Счётчик[14]
13,Эфиопия,109499000.0,2024-01-011 июля 2024,1.45%,Оценка[13]
14,Египет,105914499.0,2022-12-301 января 2024,1.37%,Оценка[15]
15,Демократическая Республика Конго,105247000.0,2022-07-011 июля 2021,1.33%,Оценка[16]
16,Вьетнам,100309200.0,20232023,1.23%,Оценка[17]
17,Турция[Комм. 2],85372377.0,2022-12-3131 декабря 2023,1.05%,Оценка[18]
18,Иран,85000000.0,2023-05-1616 мая 2023,1.04%,Оценка[19]
19,Германия,84708010.0,2023-12-3130 июня 2023,1.04%,Оценка[20]
20,Таиланд,69872770.0,2024-10-11T03:14:41+00:0011 октября 2024,0.86%,Счётчик[23]
21,Франция[Комм. 3],68513000.0,2024-02-011 сентября 2024,0.81%,Оценка[21]
22,Танзания,67890747.0,2022-07-011 июля 2022,0.83%,Оценка[24]
23,Великобритания,67647112.0,2021-01-011 января 2021,0.82%,Оценка[22]
24,ЮАР,61956900.0,2021-07-011 июля 2021,0.76%,Оценка[25]
25,Италия,58979364.0,2024-03-3130 июня 2024,0.72%,Оценка[26]
26,Мьянма,54045000.0,2019-07-011 июля 2019,0.66%,Оценка[27]
27,Кения,52428290.0,2021-08-251 января 2024,0.71%,Перепись[31]
28,Уганда,52006700.0,2022-07-011 июля 2022,0.63%,Оценка[30]
29,Республика Корея,51265238.0,2020-01-0131 июля 2024,0.63%,Оценка[28]
30,Колумбия,49258494.0,2018-10-3030 октября 2018,0.6%,Перепись[29]
31,Судан,49068700.0,2024-10-11T03:14:41+00:0011 октября 2024,0.6%,Счётчик[34]
32,Аргентина,47067441.0,2022-05-181 июля 2024,0.57%,Перепись[33]
33,Испания,46934632.0,2021-01-011 января 2021,0.58%,Оценка[32]
34,Алжир,46700000.0,2021-07-011 января 2024,0.57%,Оценка[27]
35,Ирак,41310000.0,2019-07-011 июля 2019,0.51%,Оценка[27]
36,Канада,41288599.0,2024-04-011 июля 2024,0.5%,Оценка[37]
37,Марокко,37893820.0,2024-10-11T03:14:41+00:0011 октября 2024,0.46%,Счётчик[39]
38,Польша,37749000.0,2023-01-011 января 2023,0.46%,Оценка[38]
39,Узбекистан,36963262.0,2021-07-011 апреля 2024,0.45%,Счётчик[41]
40,Малайзия,35119110.0,2024-10-11T03:14:41+00:0011 октября 2024,0.43%,Счётчик[42]
41,Ангола,34825000.0,2019-07-011 июля 2019,0.43%,Оценка[27]
42,Венесуэла,34504000.0,2024-10-11T03:14:41+00:0011 октября 2024,0.42%,Счётчик[43]
43,Афганистан,34262840.0,2022-04-011 апреля 2022,0.42%,Оценка[44]
44,Украина[35],33365000.0,2022-01-012024,0.5%,Оценка[36]
45,Саудовская Аравия,32175224.0,2021-07-0110 мая 2022,0.39%,Оценка[40]
46,Перу,32162184.0,2018-12-011 декабря 2018,0.39%,Оценка[45]
47,Гана,31418000.0,2019-07-011 июля 2019,0.39%,Оценка[27]
48,Мозамбик,31366000.0,2019-07-011 июля 2019,0.38%,Оценка[27]
49,Йемен,31162000.0,2019-07-011 июля 2019,0.38%,Оценка[27]
50,Непал,29192480.0,2021-11-1111 ноября 2021,0.36%,Перепись[46]
51,Мадагаскар,28680342.0,2018-06-011 июня 2018,0.35%,Перепись[47]
52,Кот-д’Ивуар,27717000.0,2019-07-011 июля 2019,0.34%,Оценка[27]
53,Австралия[Комм. 4],27122411.0,2023-12-3131 марта 2024,0.33%,Оценка[48]
54,Камерун,26348251.0,2021-07-011 июля 2021,0.32%,Оценка[49]
55,КНДР,25950000.0,2019-07-011 июля 2021,0.32%,Оценка[27]
56,Нигер,25314743.0,2021-07-011 июля 2021,0.31%,Оценка[51]
57,Китайская Республика(Тайвань)[Комм. 5],23782448.0,2018-04-011 апреля 2018,0.29%,Оценка[50]
58,Буркина-Фасо,22870060.0,2021-07-011 июля 2021,0.28%,Оценка[52]
59,Шри-Ланка,21803000.0,2019-07-011 июля 2019,0.26%,Оценка[53]
60,Мали,20658000.0,2019-07-011 июля 2019,0.25%,Оценка[27]
61,Чили,20226565.0,2024-10-11T03:14:41+00:0011 октября 2024,0.24%,Счётчик[57]
62,Казахстан,20201849.0,2024-08-011 сентября 2024,0.25%,Оценка[54]
63,Замбия,19610769.0,2022-08-1818 августа 2022,0.24%,Перепись[58]
64,Сенегал,19256346.0,2018-01-011 января 2018,0.24%,Оценка[55]
65,Румыния,19053815.0,2021-02-011 февраля 2021,0.23%,Перепись[56]
66,Малави,18563749.0,2018-09-033 сентября 2018,0.23%,Перепись[60]
67,Эквадор,18453880.0,2024-10-11T03:14:41+00:0011 октября 2024,0.23%,Счётчик[62]
68,Нидерланды,17967505.0,2024-04-3030 апреля 2024,0.22%,Оценка[61]
69,Гватемала,17679735.0,2019-07-011 июля 2019,0.22%,Оценка[59]
70,Зимбабве,17645000.0,2019-07-011 июля 2019,0.22%,Оценка[27]
71,Сирия,17070000.0,2019-07-011 июля 2019,0.21%,Оценка[27]
72,Чад,15948000.0,2019-07-011 июля 2019,0.2%,Оценка[27]
73,Сомали[Комм. 6],15443000.0,2019-07-011 июля 2019,0.19%,Оценка[27]
74,Камбоджа,15288489.0,2019-03-033 марта 2019,0.19%,Перепись[63]
75,Руанда,13798561.0,2024-01-011 января 2024,0.17%,Оценка[64]
76,Гвинея,12771000.0,2019-07-011 июля 2019,0.16%,Оценка[27]
77,Бельгия,11823056.0,2024-04-011 апреля 2024,0.14%,Оценка[65]
78,Тунис,11658341.0,2019-07-011 июля 2019,0.14%,Оценка[66]
79,Боливия,11469896.0,2019-07-011 июля 2019,0.14%,Оценка[67]
80,Иордания,11410910.0,2024-10-11T03:14:41+00:0011 октября 2024,0.14%,Счётчик[69]
81,Куба,11333000.0,2019-07-011 июля 2019,0.14%,Оценка[27]
82,Бурунди,11215578.0,2020-01-011 января 2020,0.14%,Оценка[68]
83,Южный Судан,11062000.0,2019-07-011 июля 2019,0.14%,Оценка[27]
84,Гаити,10911819.0,2015-01-011 января 2015,0.13%,Оценка[70]
85,Доминиканская Республика,10739000.0,2019-07-011 июля 2019,0.13%,Оценка[27]
86,Швеция,10548461.0,2024-04-3030 апреля 2024,0.13%,Оценка[71]
87,Чехия,10524167.0,2021-03-2727 марта 2021,0.13%,Перепись[72]
88,Греция,10482487.0,2021-11-2323 ноября 2021,0.13%,Перепись[73]
89,Португалия,10347892.0,2021-07-287 июля 2021,0.13%,Перепись[76]
90,Бенин,10315244.0,2015-07-011 июля 2015,0.13%,Оценка[74]
91,Азербайджан,10119100.0,2021-01-011 января 2021,0.12%,Оценка[75]
92,Таджикистан,9886800.0,2022-01-011 января 2022,0.12%,Оценка[81]
93,ОАЭ,9771000.0,2019-07-011 июля 2019,0.12%,Оценка[27]
94,Венгрия,9604000.0,2022-10-011 октября 2022,0.12%,Перепись[77]
95,Белоруссия,9255524.0,2022-01-011 января 2022,0.11%,Оценка[78]
96,Гондурас,9158345.0,2019-07-011 июля 2019,0.11%,Оценка[79]
97,Израиль,9136000.0,2020-01-011 января 2020,0.11%,Оценка[80]
98,Австрия,8915382.0,2020-07-011 июля 2020,0.11%,Оценка[82]
99,Папуа — Новая Гвинея,8776000.0,2019-07-011 июля 2019,0.11%,Оценка[27]
100,Швейцария,8570146.0,2019-07-011 июля 2019,0.11%,Оценка[83]
101,Того,8082000.0,2019-07-011 июля 2019,0.1%,Оценка[27]
102,Сьерра-Леоне,7813000.0,2019-07-011 июля 2019,0.096%,Оценка[27]
103,Гонконг,7524100.0,2019-07-011 июля 2019,0.092%,Оценка[84]
104,Парагвай,7152703.0,2019-07-011 июля 2019,0.088%,Оценка[85]
105,Лаос,7123205.0,2019-07-011 июля 2019,0.087%,Оценка[86]
106,Кыргызстан,7037600.0,2023-01-011 января 2023,0.081%,Оценка[89]
107,Болгария,6951482.0,2020-01-011 января 2020,0.085%,Оценка[87]
108,Сербия[Комм. 7],6926705.0,2020-01-011 января 2020,0.085%,Оценка[88]
109,Ливан,6856000.0,2019-07-011 июля 2019,0.084%,Оценка[27]
110,Ливия,6777000.0,2019-07-011 июля 2019,0.083%,Оценка[27]
111,Сальвадор,6454000.0,2019-07-011 июля 2019,0.079%,Оценка[27]
112,Никарагуа,6198154.0,2014-07-011 июля 2014,0.076%,Оценка[90][91]
113,Дания[Комм. 8],5962689.0,2024-02-011 февраля 2024,0.073%,Оценка[92]
114,Туркменистан,5942000.0,2019-07-011 июля 2019,0.073%,Оценка[27]
115,Сингапур,5703600.0,2019-07-011 июля 2019,0.07%,Оценка[93]
116,Норвегия,5550203.0,2023-10-011 октября 2023,0.068%,Оценка[96]
117,Финляндия[94],5526774.0,2020-03-011 марта 2020,0.068%,Оценка[95]
118,Словакия,5422620.0,2024-03-3131 марта 2024,0.066%,Оценка[97]
119,Республика Конго,5381000.0,2019-07-011 июля 2019,0.066%,Оценка[27]
120,Новая Зеландия,5338900.0,2024-03-3031 марта 2024,0.065%,Оценка[98]
121,Коста-Рика,4953199.0,2018-01-011 января 2018,0.061%,Оценка[99]
122,Либерия,4937000.0,2019-07-011 июля 2019,0.061%,Оценка[27][100]
123,Ирландия,4921500.0,2019-04-011 апреля 2019,0.06%,Оценка[101]
124,Государство Палестина[102],4816503.0,2016-07-011 июля 2016,0.059%,Оценка[103]
125,ЦАР,4745000.0,2019-07-011 июля 2019,0.058%,Оценка[27]
126,Кувейт,4207000.0,2019-07-011 июля 2019,0.052%,Оценка[27]
127,Оман,4088690.0,2014-12-1010 декабря 2014,0.05%,Оценка[104]
128,Хорватия,4076246.0,2019-01-011 января 2019,0.05%,Оценка[22]
129,Панама,3764166.0,2015-07-011 июля 2015,0.046%,Оценка[105]
130,Грузия[Комм. 9],3736400.0,2023-01-011 января 2023,0.046%,Оценка[106]
131,Мавритания,3631775.0,2015-07-011 июля 2015,0.045%,Оценка[107]
132,Эритрея,3497000.0,2019-07-011 июля 2019,0.043%,Оценка[27]
133,Монголия,3457548.0,2022-12-3131 декабря 2022,0.042%,Оценка[111]
134,Босния и Герцеговина[Комм. 10],3434000.0,2022-06-011 июня 2022,0.042%,Оценка[108]
135,Уругвай,3415866.0,2015-07-011 июля 2015,0.042%,Оценка[109]
136,Пуэрто-Рико(США),3411307.0,2016-07-011 июля 2016,0.042%,Оценка[110]
137,Катар,2965952.0,2023-12-3131 декабря 2023,0.036%,Оценка[112]
138,Армения,2962100.0,2019-04-011 апреля 2019,0.036%,Оценка[113]
139,Литва,2891215.0,2024-06-011 июня 2024,0.035%,Оценка[114]
140,Албания,2845955.0,2020-01-011 января 2020,0.035%,Оценка[115]
141,Ямайка,2726667.0,2019-01-011 января 2019,0.033%,Оценка[116]
142,Намибия,2495000.0,2019-07-011 июля 2019,0.031%,Оценка[27]
143,Молдавия[Комм. 11],2423300.0,2019-01-011 января 2024,0.03%,Оценка[117]
144,Гамбия,2348000.0,2019-07-011 июля 2019,0.029%,Оценка[27]
145,Ботсвана,2304000.0,2019-07-011 июля 2019,0.028%,Оценка[27]
146,Габон,2173000.0,2019-07-011 июля 2019,0.027%,Оценка[27]
147,Словения,2123103.0,2023-10-011 октября 2023,0.026%,Оценка[118]
148,Северная Македония,2077132.0,2019-01-011 января 2019,0.025%,Оценка[119]
149,Лесото,2007201.0,2016-04-1010 апреля 2016,0.025%,Перепись[120]
150,Гвинея-Бисау,1921000.0,2019-07-011 июля 2019,0.024%,Оценка[27]
151,Республика Косово[121],1907592.0,2018-01-011 января 2018,0.02%,Оценка[122]
152,Латвия,1862700.0,2024-05-011 мая 2024,0.023%,Оценка[123]
153,Бахрейн,1451200.0,2017-07-011 июля 2017,0.018%,Оценка[124]
154,Тринидад и Тобаго,1395000.0,2019-07-011 июля 2019,0.017%,Оценка[27]
155,Эстония,1374687.0,2024-01-011 января 2024,0.017%,Оценка[125]
156,Экваториальная Гвинея,1356000.0,2019-07-011 июля 2019,0.017%,Оценка[27]
157,Маврикий[126],1261208.0,2014-07-011 июля 2014,0.015%,Оценка[127]
158,Восточный Тимор,1212107.0,2014-07-011 июля 2014,0.015%,Оценка[128]
159,Эсватини,1148000.0,2019-07-011 июля 2019,0.014%,Оценка[27]
160,Джибути,974000.0,2019-07-011 июля 2019,0.012%,Оценка[27]
161,Фиджи,890000.0,2019-07-011 июля 2019,0.011%,Оценка[27]
162,Кипр[Комм. 12],875898.0,2019-01-011 января 2019,0.011%,Оценка[22]
163,Реюньон(Франция),844994.0,2014-01-011 января 2014,0.01%,Оценка[129]
164,Коморы[131],806153.0,2016-07-011 июля 2016,0.01%,Оценка[132]
165,Гайана,801623.0,2015-07-011 июля 2015,0.01%,Оценка[130]
166,Бутан,763000.0,2019-07-011 июля 2019,0.009%,Оценка[27]
167,Макао,686400.0,2024-03-3131 марта 2024,0.008%,Оценка[133]
168,Соломоновы Острова,670000.0,2019-07-011 июля 2019,0.008%,Оценка[27]
169,Черногория,622218.0,2016-01-011 января 2016,0.008%,Оценка[134]
170,Люксембург,613894.0,2019-01-011 января 2019,0.008%,Оценка[22]
171,САДР[121],582000.0,2019-07-011 июля 2019,0.007%,Оценка[27]
172,Суринам,581000.0,2019-07-011 июля 2019,0.007%,Оценка[27]
173,Кабо-Верде,550000.0,2019-07-011 июля 2019,0.007%,Оценка[27]
174,Мальта,493559.0,2019-01-011 января 2019,0.006%,Оценка[22]
175,Приднестровье[135],467400.0,2019-01-011 января 2019,0.006%,Оценка[136]
176,Бруней,433000.0,2019-07-011 июля 2019,0.005%,Оценка[27]
177,Гваделупа(Франция),403750.0,2014-01-011 января 2014,0.005%,Оценка[137]
178,Мальдивы,402071.0,2014-09-2020 сентября 2014,0.005%,Перепись[138]
179,Багамские Острова,389000.0,2019-07-011 июля 2019,0.005%,Оценка[27]
180,Белиз,387879.0,2017-06-011 июня 2017,0.005%,Оценка[140]
181,Мартиника(Франция),381326.0,2014-01-011 января 2014,0.005%,Оценка[139]
182,Исландия,356991.0,2019-01-011 января 2019,0.004%,Оценка[22]
183,Северный Кипр[121],313626.0,2015-01-011 января 2015,0.004%,Оценка[141]
184,Вануату,300000.0,2019-07-011 июля 2019,0.004%,Оценка[27]
185,Гвиана(Франция),296711.0,2019-01-011 января 2019,0.004%,Оценка[142]
186,Барбадос,287000.0,2019-07-011 июля 2019,0.004%,Оценка[27]
187,Французская Полинезия(Франция),281674.0,2018-01-011 января 2018,0.003%,Оценка[143]
188,Новая Каледония(Франция),268767.0,2014-08-2626 августа 2014,0.003%,Перепись[144]
189,Майотта(Франция),266000.0,2019-07-011 июля 2019,0.003%,Оценка[27]
190,Республика Абхазия[121],243564.0,2016-01-011 января 2016,0.003%,Оценка[145]
191,Сан-Томе и Принсипи,215000.0,2019-07-011 июля 2019,0.003%,Оценка[27]
192,Самоа,197000.0,2019-07-011 июля 2019,0.002%,Оценка[27]
193,Сент-Люсия,183000.0,2019-07-011 июля 2019,0.002%,Оценка[27]
194,Гуам(США),167000.0,2019-07-011 июля 2019,0.002%,Оценка[27]
195,Кюрасао(Нид.),158986.0,2014-07-011 июля 2014,0.002%,Оценка[146]
196,Кирибати,118000.0,2019-07-011 июля 2019,0.001%,Оценка[27]
197,Микронезия,114000.0,2019-07-011 июля 2019,0.001%,Оценка[27]
198,Гренада,112000.0,2019-07-011 июля 2019,0.001%,Оценка[27]
199,Сент-Винсент и Гренадины,111000.0,2019-07-011 июля 2019,0.001%,Оценка[27]
200,Аруба(Нид.),106000.0,2019-07-011 июля 2019,0.001%,Оценка[27]
201,Джерси(Брит.),105500.0,2018-01-011 января 2018,0.001%,Оценка[147]
202,Виргинские Острова(США),105000.0,2019-07-011 июля 2019,0.001%,Оценка[27]
203,Тонга,100651.0,2016-11-3030 ноября 2016,0.001%,Перепись[148]
204,Сейшельские Острова,98000.0,2019-07-011 июля 2019,0.001%,Оценка[27]
205,Антигуа и Барбуда,97000.0,2019-07-011 июля 2019,0.001%,Оценка[27]
206,Остров Мэн(Брит.),83314.0,2016-04-2424 апреля 2016,0.001%,Перепись[149]
207,Андорра,76177.0,2019-01-011 января 2019,0.0009%,Оценка[22]
208,Доминика,72000.0,2019-07-011 июля 2019,0.0009%,Оценка[27]
209,Гернси(Брит.),63026.0,2016-07-011 июля 2016,0.0008%,Оценка[150]
210,Бермуды(Брит.),61662.0,2019-07-011 июля 2019,0.0008%,Оценка[27]
211,Острова Кайман(Брит.),60764.0,2019-07-011 июля 2019,0.0007%,Оценка[27]
212,Гренландия(Дания),56196.0,2019-07-011 июля 2019,0.0007%,Оценка[27]
213,Сент-Китс и Невис,56183.0,2019-07-011 июля 2019,0.0007%,Оценка[27]
214,Американское Самоа(США),55602.0,2019-07-011 июля 2019,0.0007%,Оценка[27]
215,Северные Марианские Острова(США),55389.0,2019-07-011 июля 2019,0.0007%,Оценка[27]
216,Фарерские острова(Дания),54683.0,2024-05-011 мая 2024,0.0007%,Оценка[151]
217,Южная Осетия[121],53532.0,2015-10-1515 октября 2015,0.0007%,Перепись[152]
218,Маршалловы Острова,53069.0,2019-07-011 июля 2019,0.0007%,Оценка[27]
219,Лихтенштейн,38378.0,2019-01-011 января 2019,0.0005%,Оценка[22]
220,Монако,38300.0,2019-01-011 января 2019,0.0005%,Оценка[22]
221,Синт-Мартен(Нид.),37224.0,2014-02-011 февраля 2014,0.0005%,Оценка[153]
222,Сен-Мартен(Франция),36457.0,2013-01-011 января 2013,0.0004%,Оценка[154]
223,Теркс и Кайкос(Брит.),34904.0,2019-07-011 июля 2019,0.0004%,Оценка[27]
224,Виргинские острова(Брит.),34492.0,2019-07-011 июля 2019,0.0004%,Оценка[27]
225,Сан-Марино,33925.0,2024-04-011 апреля 2024,0.0004%,Оценка[155]
226,Гибралтар(Брит.),33573.0,2016-01-011 января 2016,0.0004%,Оценка[156]
227,"Бонайре, Синт-Эстатиус и Саба(Нид.)",25052.0,2018-01-011 января 2018,0.0003%,Оценка[157]
228,Палау,21507.0,2019-07-011 июля 2019,0.0003%,Оценка[27]
229,Острова Кука(Нов. Зел.),17325.0,2019-07-011 июля 2019,0.0002%,Оценка[27]
230,Сен-Бартелеми(Франция),16183.0,2013-01-011 января 2013,0.0002%,Оценка[158]
231,Ангилья(Брит.),15800.0,2019-07-011 июля 2019,0.0002%,Оценка[27]
232,Уоллис и Футуна(Франция),11620.0,2019-07-0124 июля 2023,0.0001%,Оценка[27]
233,Науру,11086.0,2019-07-011 июля 2019,0.0001%,Оценка[27]
234,Тувалу,10927.0,2019-07-011 июля 2019,0.0001%,Оценка[27]
235,Сен-Пьер и Микелон(Франция),6092.0,2019-07-011 января 2020,0.0001%,Оценка[27]
236,Остров Святой Елены(Брит.),5651.0,2019-07-011 июля 2021,0.0001%,Оценка[27]
237,Монтсеррат(Брит.),4386.0,2024-07-0123 сентября 2023,0.0001%,Оценка[159]
238,Фолклендские острова[160](Брит.),3662.0,2019-07-012021,0.00004 %,Оценка[27]
239,Ниуэ(Нов. Зел.),1681.0,2019-07-012022,0.00002 %,Оценка[27]
240,Токелау(Нов. Зел.),1647.0,2016-10-18декабря 2019,0.00002 %,Перепись[161]
241,Ватикан,764.0,2023-06-2626 июня 2023,0.00001 %,Оценка[162]
